Fabricante;Modelo;Ano;Problema;Causa;Solucao;Orcamento;Categoria do Problema;Gravidade do Problema;Tempo Estimado de Reparo
Lexus;Wrangler;2015;Suspenso com rudos;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;903;Sistema de Arrefecimento;Média;4 horas
Dodge Ram;A4;2016; necessrio redefinir o ciclo de conduo do monitor DTC;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Fluido de transmisso automtica substitudo/lavado;651;Sistema de Escape;Média;1 semana
Nissan;3;2019;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Sensores de nvel de combustvel;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;1516;Suspensão;Média;1 semana
Jaguar;Ram 1500;2012;Transmisso com falha;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Reparo na transmisso;945;Direção;Crítica;1 dia
Cadillac;Sedona;2019;Sem aquecimento;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Troca da bateria;1421;Elétrico;Média;1 dia
Jeep;Eclipse;2016;Sem energia, bateria descarregada;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Reparo na transmisso;1025;Direção;Média;2 dias
Audi;Sedona;2010;Luz do motor acesa;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;1512;Sistema de Arrefecimento;Crítica;4 horas
Hyundai;A4;2016;Tremores do motor;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1912;Sistema de Arrefecimento;Média;4 horas
Cadillac;Outback;2010;Freios falhando;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;651;Transmissão;Média;3 dias
Hyundai;Camry;2010; necessrio redefinir o ciclo de conduo do monitor DTC;Falha na operao de carga parcial da vlvula de ventilao do crter.;Troca das pastilhas de freio;1218;Freios;Média;4 horas
GMC;Encore;2021;Luz do motor acesa;Falha no sensor de airbags;Troca da bomba da direo;1516;Freios;Média;4 horas
Mazda;Outback;2020;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Falha no sensor de airbags;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1139;Direção;Média;4 horas
Mitsubishi;Focus;2016;Sem aquecimento;Bobina de ignição com falha;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);2222;Sistema de Escape;Média;4 horas
Cadillac;Escalade;2019;Ar condicionado no est gelando;Desgaste nas pastilhas de freio;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;333;Elétrico;Média;1 dia
Volkswagen;XJ 3.0;2017;Falha no sistema de airbags;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1749;Elétrico;Média;1 dia
Jaguar;Altima;2010;Sem partida  sem fasca;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Troca da bateria;687;Transmissão;Média;1 dia
Cadillac;3;2012;Ar condicionado no resfria;Falha no conversor de torque;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1880;Elétrico;Média;4 horas
Jeep;Santa Fe;2019;O motor est funcionando com pouca potncia.;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1741;Suspensão;Média;1 dia
Cadillac;Camry;2016;Cdigo de advertncia de falha de ignio do motor P0352;Falha no conversor de torque;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1764;Freios;Média;2 dias
Infiniti;Focus;2017;Sem partida  sem fasca;Lista de componentes eltricos mestre;Troca dos amortecedores;1912;Direção;Média;4 horas
Mercedes;Cruze;2019;Cdigo de advertncia de falha de ignio do motor P0352;Lista de componentes eltricos mestre;Unidade de estgio final de controle do soprador substituda/reparada  bateria substituda/recarregada/programada;1912;Transmissão;Média;1 semana
Kia;Santa Fe;2018;Ar condicionado não está gelando;Falha na operao de carga parcial da vlvula de ventilao do crter.;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;863;Transmissão;Média;2 dias
Jaguar;Elantra;2010;Cdigo de advertncia de falha de ignio do motor P0352;Bobina de ignio com falha;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;2084;Sistema de Escape;Média;1 dia
BMW;F-150;2019;Transmisso com falha;Bobina de ignio com falha;Turbocompressor substitudo/reparado  Clipe da alavanca de controle da vlvula de descarga substitudo/reparado/apertado;1139;Sistema de Escape;Crítica;1 semana
Volkswagen;Elantra;2016;Sem manivela  No inicia;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Troca das pastilhas de freio;1880;Sistema de Escape;Média;1 semana
Subaru;Silverado;2019;Sem aquecimento;Bateria com baixa carga;Troca da bomba da direo;1212;Motor;Baixa;1 dia
Honda;3;2015;Luz de verificao do motor em marcha lenta alta;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1269;Transmissão;Média;1 dia
Nissan;Camry;2017; necessrio redefinir o ciclo de conduo do monitor DTC;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Substituio do sensor de airbags;687;Suspensão;Média;1 semana
Volkswagen;Sedona;2020;Motor superaquecendo;Falha na caixa de transmisso;Reparo na transmisso;517;Direção;Média;4 horas
Acura;Infiniti FX35;2017;Bateria no est sendo carregada pelo alternador.;Compressor de ar condicionado (A/C);Troca da bateria;2084;Freios;Média;2 dias
Hyundai;Accord;2018;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Falha no conversor de torque;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);1073;Suspensão;Média;1 dia
Honda;3;2019;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Radiador entupido;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1880;Elétrico;Crítica;3 dias
Chrysler;Camry;2010;Cdigo de advertncia de falha de ignio do motor P0352;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Reparo na transmisso;1911;Suspensão;Média;1 semana
Cadillac;Ram 1500;2016;Sem aquecimento;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Troca da bomba da direo;328;Sistema de Arrefecimento;Média;1 dia
Jeep;Sedona;2020;Sem manivela  No inicia;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Substituiu o motor de arranque ou consertou a emenda J308;1880;Motor;Alta;4 horas
Jeep;XJ 3.0;2012;Código de advertência de falha de ignição do motor P0352;Falha no sensor de airbags;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;492;Suspensão;Média;3 dias
Kia;Sierra;2012;Direo pesada;Falha no sensor de airbags;Substituio do sensor de oxignio;1162;Elétrico;Média;1 dia
Kia;Camry;2020;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1190;Motor;Média;4 horas
Acura;F-150;2019;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Sensores de nvel de combustvel;Fluido de transmisso automtica substitudo/lavado;1421;Freios;Média;4 horas
Kia;Outback;2021;Ar condicionado no est gelando;Bomba da direo hidrulica com defeito;Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;360;Elétrico;Média;4 horas
Hyundai;F-150;2017;Ar condicionado não está gelando;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;885;Elétrico;Crítica;1 dia
Mazda;RLX;2018;Motor superaquecendo;Bobina de ignição com falha;Reparo no conversor de torque;1652;Suspensão;Média;4 horas
Acura;Eclipse;2016;Direo pesada;Compressor de ar condicionado (A/C);Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1843;Motor;Média;4 horas
Audi;X3;2021;Ar condicionado no est gelando;Falha na caixa de transmisso;Substituiu o motor de arranque ou consertou a emenda J308;1743;Elétrico;Média;1 dia
Jeep;Sedona;2020;Transmisso com falha;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;487;Freios;Crítica;4 horas
Honda;A4;2010; necessrio redefinir o ciclo de conduo do monitor DTC;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Reparo na transmisso;463;Transmissão;Média;1 dia
Lexus;Sedona;2020;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Bobina de ignição com falha;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;2497;Suspensão;Média;2 dias
GMC;Accord;2010;Sem aquecimento;Desgaste nas pastilhas de freio;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1139;Transmissão;Crítica;4 horas
GMC;F-150;2018;O motor est funcionando com pouca potncia.;Sensor de oxignio com defeito;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1749;Suspensão;Média;4 horas
Volvo;ES350;2017;Transmisso com falha;Sensor de oxignio com defeito;Troca dos amortecedores;829;Suspensão;Média;4 horas
Kia;RLX;2012;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Substituiu o motor de arranque ou consertou a emenda J308;305;Freios;Média;1 dia
Infiniti;Escalade;2016;Sem aquecimento;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substitudos/reposicionados ambos os sensores de nvel de combustvel, substitudo conjunto de bomba de combustvel/unidade de envio;2129;Motor;Média;3 dias
Mercedes;A3 Quattro;2018;Baixo consumo de energia;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Bobina(s) de ignição substituída(s)/reparada(s)  Bobina(s) de ignição substituída(s) e vela(s) de ignição substituída(s)/reaprendida(s);2400;Freios;Crítica;1 dia
Hyundai;Ram 1500;2021;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Limpeza do radiador;1624;Freios;Crítica;4 horas
Mercedes;Infiniti FX35;2018;Ar condicionado no est gelando;Falha no conversor de torque;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1421;Sistema de Escape;Média;4 horas
GMC;F-150;2018;Baixo consumo de energia;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Compressor de ar condicionado (A/C) substituído ou sensor de fluxo do compressor de ar condicionado (A/C) substituído;1218;Freios;Média;1 dia
Buick;Camry;2017;Código de advertência de falha de ignição do motor P0352;Falha na caixa de transmisso;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;441;Transmissão;Média;1 dia
Volkswagen;Encore;2012;Falha no sistema de airbags;Falha na caixa de transmisso;Substituição do solenóide/válvula de ventilação do canister de emissões evaporativas (EVAP)  Substituição da válvula de controle de purga do canister  Substituição da bomba de combustível;1856;Elétrico;Crítica;4 horas
Jaguar;XJ 3.0;2016;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Bobina de ignição com falha;Reparo na transmisso;2216;Suspensão;Média;3 dias
Volkswagen;Ram 1500;2016;Ar condicionado no est gelando;Bateria com baixa carga;Bobina(s) de ignio substituda(s)/reparada(s)  Bobina(s) de ignio substituda(s) e vela(s) de ignio substituda(s)/reaprendida(s);2222;Direção;Alta;1 dia
Ford;Sedona;2018;Suspenso com rudos;Bobina de ignição com falha;Alternador substitudo/reparado  Fiao do alternador reparada/substituda/trocada  Caixa de fusveis auxiliar da bateria substituda/reparada/apertada;1351;Sistema de Escape;Média;1 dia
Acura;ES350;2016;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Bateria com baixa carga;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;396;Freios;Média;1 dia
Subaru;F-150;2015;Transmisso com falha;Desgaste nas pastilhas de freio;Limpeza do radiador;1086;Suspensão;Média;1 dia
Mazda;A3 Quattro;2017;O motor est funcionando com pouca potncia.;Falha no conversor de torque;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1212;Sistema de Escape;Média;1 dia
Mazda;A3 Quattro;2010;Ar condicionado no resfria;Desgaste nas pastilhas de freio;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;1212;Transmissão;Média;1 dia
Ford;C-Class;2018;Cdigo de advertncia de falha de ignio do motor P0352;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Ncleo do aquecedor substitudo/limpo/consertado/sangrado  Procedimento de lavagem do sistema de arrefecimento;2338;Suspensão;Média;1 dia
Toyota;X3;2017;Motor superaquecendo;Problema conhecido com o mdulo de controle do ventilador, que  incorporado no prprio ventilador auxiliar do radiador/condensador, causando um consumo de corrente. Alm disso, o controlador de velocidade do soprador para o aquecedor e o ventilador do A/C pode causar um consumo de corrente anormal.;Troca dos amortecedores;333;Transmissão;Média;1 dia
Toyota;Altima;2018;Transmisso com reduo de marcha intermitente em velocidades de rodovia;Bobina de ignio com falha;Troca da bateria;492;Sistema de Escape;Média;4 horas
Ford;Jetta;2015;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1784;Sistema de Arrefecimento;Crítica;1 semana
Toyota;Accord;2018;Marcha lenta irregular  falha de ignio do motor. Cdigo de advertncia P0014;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;2338;Motor;Média;2 dias
Jaguar;Altima;2020;Bateria descarregada;Radiador entupido;Substituiu o motor de arranque ou consertou a emenda J308;492;Suspensão;Média;4 horas
Mercedes;Jetta;2017;Luz do motor acesa;Mdulo de controle de transmisso (TCM) e/ou chicote eltrico;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;1162;Elétrico;Média;1 dia
Mitsubishi;XC60;2015;Sem energia, bateria descarregada;Passagens de lquido de arrefecimento obstrudas  Termostato de lquido de arrefecimento com defeito  Lquido de arrefecimento do motor contaminado  Ncleo do aquecedor obstrudo  Bomba de gua com defeito;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;950;Sistema de Escape;Média;1 dia
Dodge Ram;Elantra;2019;Cmbio travado;Sensores de nvel de combustvel;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;517;Sistema de Escape;Média;4 horas
Toyota;Sedona;2020;Código de advertência de falha de ignição do motor P0352;Falha no conversor de torque;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;1426;Suspensão;Alta;4 horas
Mercedes;XJ 3.0;2021;Sem manivela  No inicia;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Limpeza do radiador;1316;Direção;Crítica;4 horas
Mercedes;Focus;2020;Direo pesada;Compressor de ar defeituoso;Reparo no conversor de torque;885;Motor;Média;1 dia
Chevrolet;Silverado;2019;Superaquecimento do motor;Bateria com baixa carga;Substituio do sensor de airbags;1103;Freios;Média;4 horas
Ford;C-Class;2016;Indicador de nvel de combustvel irregular, medidor de combustvel no funciona;Desgaste nas pastilhas de freio;Troca da bateria;2464;Transmissão;Crítica;1 semana
Lexus;Sierra;2016;Ar condicionado não está gelando;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1086;Elétrico;Alta;1 dia
BMW;RLX;2010; necessrio redefinir o ciclo de conduo do monitor DTC;Falha na caixa de transmisso;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);2497;Transmissão;Média;4 horas
Subaru;Cruze;2017;Sem manivela  No inicia;Bomba da direo hidrulica com defeito;Conjunto de mdulo de controle do ventilador de resfriamento/ventilador substitudo  Conector do mdulo de controle do ventilador de resfriamento reparado/substitudo;1695;Sistema de Escape;Média;1 semana
Volvo;Sedona;2012; necessrio redefinir o ciclo de conduo do monitor DTC;Falha no sensor de airbags;Reparo no conversor de torque;955;Motor;Média;4 horas
Nissan;A3 Quattro;2020;Sem energia, bateria descarregada;Desgaste nas pastilhas de freio;Troca da bomba da direo;950;Motor;Média;1 dia
Mazda;Outback;2021;Bateria no est sendo carregada pelo alternador.;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Substituiu o motor de arranque ou consertou a emenda J308;305;Motor;Média;1 dia
Audi;Cruze;2021;Bateria no est sendo carregada pelo alternador.;Sensor de posio do eixo de comando  Sensor de posio do virabrequim;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;1421;Transmissão;Média;2 dias
Subaru;Wrangler;2021;Freios falhando;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Substituiu o motor de arranque ou consertou a emenda J308;1086;Motor;Média;1 dia
Infiniti;Silverado;2012;Ar condicionado não está gelando;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;517;Suspensão;Média;4 horas
Volkswagen;Eclipse;2019;Ar condicionado no est gelando;Falha no sensor de airbags;Limpeza do radiador;1421;Sistema de Arrefecimento;Média;1 dia
Audi;Altima;2010;Bateria no est sendo carregada pelo alternador.;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Troca dos amortecedores;903;Freios;Média;3 dias
Buick;A4;2015;Luz de verificao do motor em marcha lenta alta;Bomba da direo hidrulica com defeito;Limpeza do radiador;517;Sistema de Escape;Média;3 dias
Nissan;C-Class;2021;Freios falhando;Sensores de nvel de combustvel;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;1912;Freios;Média;1 dia
Infiniti;Sierra;2010;Tremores do motor;Fluido de transmisso automtica  Bobina(s) de ignio  Vela(s) de ignio  Pistes do balancim de controle de elevao de tempo varivel (VTEC)  Molas do balancim de controle de elevao de tempo varivel (VTEC);Troca da bomba da direo;517;Transmissão;Média;4 horas
Acura;XC60;2021;O monitor Evap não funciona após o módulo de controle do motor (ECM) DTC P0442 O solenóide de ventilação é atualizado;Compressor de ar condicionado (A/C);Mdulo de controle de transmisso (TCM) substitudo/reparado/apertado/ajustado;955;Freios;Média;1 dia
Cadillac;F-150;2012;Luz de advertncia de lembrete de manuteno/Procedimento de reinicializao.;Falha na operao de carga parcial da vlvula de ventilao do crter.;Troca da bateria;305;Motor;Crítica;1 dia
Mercedes;ES350;2010;Freios falhando;Motor do atuador da porta de mistura  Eixo da porta de mistura  Fluxo do lquido de arrefecimento  Termostato do lquido de arrefecimento do motor  Ncleo do aquecedor  Cabea de controle do ar condicionado de ventilao do aquecedor (HVAC);Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1069;Sistema de Escape;Média;1 semana
Volvo;C-Class;2020;Luz do motor acesa;Solenide de purga do canister  Conectores de mangueira de borracha evaporativa  Conjunto do monitor de integridade do sistema evaporativo (ESIM)  Tampa do bocal de abastecimento de combustvel  Tanque de combustvel  Gargalo do bocal de abastecimento do tanque de combustvel;Vlvula de controle de tempo de vlvula de escape substituda  leo/filtro do motor substitudo;2206;Motor;Média;1 dia
Mercedes;Ram 1500;2019;Cdigo de advertncia de falha de ignio do motor P0352;Alternador  Alternador/Regulador de voltagem interno com defeito  Fiao do alternador  Caixa de fusveis auxiliares da bateria;Reparo na transmisso;1784;Direção;Média;4 horas
Ford;ES350;2018;Direo pesada;Bobina de ignio com falha;Conjunto do monitor de integridade do sistema evaporativo (ESIM) substitudo/reparado/conectado  Tampa do bocal de abastecimento de combustvel substituda/apertada/reparada;1520;Transmissão;Média;3 dias
Volkswagen;XC60;2017;Bateria no est sendo carregada pelo alternador.;Procedimento de reinicializao do lembrete de manuteno somente para informaes;Procedimento de aprendizagem do volume de ar em marcha lenta realizado/substitudo  Corpo do acelerador substitudo/limpo  Procedimento de aprendizagem da posio de liberao do pedal do acelerador realizado e Procedimento de aprendizagem do volume de ar em marcha lenta realizado;2206;Sistema de Escape;Crítica;3 dias
Volkswagen;ES350;2018; necessrio redefinir o ciclo de conduo do monitor DTC;Sensores de nvel de combustvel;Sensor de relao ar/combustvel (A/F) substitudo/apertado  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 1 (B1S1)  Sensor de oxignio aquecido (HO2S) substitudo Banco 1 Sensor 2 (B1S2);950;Motor;Média;4 horas
Honda;Outback;2018;Falha no sistema de airbags;Circuito do ventilador com defeito impedindo que o ventilador esfrie o motor;Vlvula de ventilao do crter de operao de carga parcial substituda  Vlvula de controle de ventilao do crter reparada/substituda  Tampa da vlvula substituda/resselada  Sistema de ventilao positiva do crter (PCV) reparado/substitudo.;1073;Motor;Média;1 dia
Subaru;Sedona;2012;Direo pesada;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Compressor de ar condicionado (A/C) substitudo ou sensor de fluxo do compressor de ar condicionado (A/C) substitudo;1520;Freios;Média;4 horas
Jaguar;Santa Fe;2019;Bateria no est sendo carregada pelo alternador.;Lista de componentes eltricos mestre;Substituir sensor de posio do virabrequim (CKP)  Substituir/programar chave imobilizadora  Substituir correia dentada;305;Sistema de Escape;Média;4 horas
Kia;Wrangler;2021;Luz do motor acesa;O monitor Evap no funciona aps o mdulo de controle do motor (ECM) DTC P0442 O solenide de ventilao  atualizado;Procedimento de reinicializao do lembrete de manuteno realizada/redefinida;2262;Transmissão;Crítica;2 horas
Volvo;RLX;2010;O motor est funcionando com pouca potncia.;Radiador entupido;Substituio do solenide/vlvula de ventilao do canister de emisses evaporativas (EVAP)  Substituio da vlvula de controle de purga do canister  Substituio da bomba de combustvel;1944;Freios;Crítica;3 dias
Mazda;Ram 1500;2021;Bateria descarregada;A velocidade do motor excedeu 200 RPM acima da velocidade de marcha lenta desejada;Troca da bateria;1818;Freios;Média;1 dia
Chrysler;Altima;2016;Transmisso com falha;Roda dentada do eixo de comando de escape  Vlvula solenide de controle de temporizao da vlvula de escape  Corrente de distribuio;Substituio do sensor de oxignio;1743;Direção;Crítica;3 dias
